0	0	16.664	0.389	3.745	1
0	1	16.130	1.542	3.281	1
0	2	4.326	3.516	2.809	1
0	3	-11.995	4.161	2.290	1
0	4	-16.180	4.036	1.878	1
0	5	-16.485	3.990	1.916	1
1	0	16.664	0.974	4.131	1
1	1	16.130	2.342	4.033	1
1	2	4.326	3.722	3.515	1
1	3	-11.995	4.246	3.197	1
1	4	-16.180	4.179	2.810	1
1	5	-16.485	4.043	2.768	1
2	0	16.664	1.560	4.518	1
2	1	16.130	3.143	4.568	1
2	2	4.326	4.006	4.221	1
2	3	-11.995	4.331	4.103	1
2	4	-16.180	4.197	3.735	1
2	5	-16.485	4.097	3.403	1
3	0	16.664	2.146	4.903	1
3	1	16.130	3.945	4.887	1
3	2	4.326	4.201	4.709	1
3	3	-11.995	4.415	4.791	1
3	4	-16.180	4.229	4.443	1
3	5	-16.485	4.150	4.253	1

