0	0	16.664	0.000	2.012	1
0	1	16.130	0.000	-0.180	1
0	2	4.326	0.000	0.119	1
0	3	-11.995	0.000	0.002	1
0	4	-16.180	0.000	0.173	1
0	5	-16.485	0.000	0.386	1
1	0	16.664	0.000	2.021	1
1	1	16.130	0.208	0.512	1
1	2	4.326	1.337	0.977	1
1	3	-11.995	1.247	0.601	1
1	4	-16.180	1.239	0.717	1
1	5	-16.485	1.222	0.751	1
2	0	16.664	0.000	2.030	1
2	1	16.130	0.416	1.275	1
2	2	4.326	2.166	1.527	1
2	3	-11.995	2.553	1.199	1
2	4	-16.180	2.480	1.144	1
2	5	-16.485	2.445	1.115	1
3	0	16.664	0.000	2.038	1
3	1	16.130	0.624	2.037	1
3	2	4.326	2.867	2.077	1
3	3	-11.995	3.861	1.796	1
3	4	-16.180	3.723	1.571	1
3	5	-16.485	3.671	1.479	1
