  4.2941870e+000  4.7446857e+000
  4.2703573e+000  4.6555779e+000
  4.2459572e+000  4.5633576e+000
  4.2210429e+000  4.4681844e+000
  4.1956702e+000  4.3702160e+000
  4.1698950e+000  4.2696104e+000
  4.1437730e+000  4.1665252e+000
  4.1173601e+000  4.0611185e+000
  4.0907120e+000  3.9535480e+000
  4.0638846e+000  3.8439715e+000
  4.0369336e+000  3.7325469e+000
  4.0099149e+000  3.6194319e+000
  3.9828842e+000  3.5047845e+000
  3.9558975e+000  3.3887624e+000
  3.9290104e+000  3.2715235e+000
  3.9022788e+000  3.1532256e+000
  3.8757585e+000  3.0340265e+000
  3.8495053e+000  2.9140841e+000
  3.8235750e+000  2.7935561e+000
  3.7980234e+000  2.6726005e+000
  3.7729062e+000  2.5513750e+000
  3.7729057e+000  2.5513744e+000
  3.7207188e+000  2.4901875e+000
  3.6689927e+000  2.4286547e+000
  3.6178765e+000  2.3668123e+000
  3.5675182e+000  2.3046955e+000
  3.5180664e+000  2.2423398e+000
  3.4696692e+000  2.1797807e+000
  3.4224751e+000  2.1170537e+000
  3.3766323e+000  2.0541940e+000
  3.3322890e+000  1.9912372e+000
  3.2895937e+000  1.9282187e+000
  3.2895908e+000  1.9282170e+000
  3.1410729e+000  1.8419749e+000
  2.9915536e+000  1.7556142e+000
  2.8409221e+000  1.6690274e+000
  2.6890650e+000  1.5821050e+000
  2.5358687e+000  1.4947378e+000
  2.3812195e+000  1.4068164e+000
  2.2250041e+000  1.3182315e+000
  2.0671088e+000  1.2288737e+000
  1.9074200e+000  1.1386338e+000
  1.7458242e+000  1.0474023e+000
  1.5822079e+000  9.5507002e-001
  1.4164575e+000  8.6152750e-001
  1.2484594e+000  7.6666545e-001
  1.0781002e+000  6.7037453e-001
  9.0526611e-001  5.7254541e-001
  7.2984375e-001  4.7306875e-001
  5.5171951e-001  3.7183521e-001
  3.7077984e-001  2.6873547e-001
  1.8691119e-001  1.6366018e-001
  0.0000000e+000  5.6500000e-002
