 -8.5990000e+001 -8.5989729e+001 -8.5989512e+001 -8.5989343e+001 -8.5989216e+001 -8.5989125e+001 -8.5989064e+001 -8.5989027e+001 -8.5989008e+001 -8.5989001e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001
 -7.7173716e+001 -7.7173563e+001 -7.7173440e+001 -7.7173345e+001 -7.7173273e+001 -7.7173222e+001 -7.7173187e+001 -7.7173167e+001 -7.7173156e+001 -7.7173152e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001 -7.7173151e+001
 -6.9996608e+001 -6.9996500e+001 -6.9996414e+001 -6.9996347e+001 -6.9996296e+001 -6.9996260e+001 -6.9996236e+001 -6.9996221e+001 -6.9996214e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001 -6.9996211e+001
 -6.4121692e+001 -6.4121582e+001 -6.4121494e+001 -6.4121425e+001 -6.4121374e+001 -6.4121337e+001 -6.4121312e+001 -6.4121297e+001 -6.4121289e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001 -6.4121286e+001
 -5.9211984e+001 -5.9211849e+001 -5.9211741e+001 -5.9211656e+001 -5.9211593e+001 -5.9211548e+001 -5.9211517e+001 -5.9211499e+001 -5.9211489e+001 -5.9211486e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001 -5.9211485e+001
 -5.4930500e+001 -5.4930342e+001 -5.4930215e+001 -5.4930117e+001 -5.4930043e+001 -5.4929990e+001 -5.4929954e+001 -5.4929932e+001 -5.4929921e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001 -5.4929917e+001
 -5.0991227e+001 -5.0991067e+001 -5.0990940e+001 -5.0990840e+001 -5.0990766e+001 -5.0990712e+001 -5.0990676e+001 -5.0990655e+001 -5.0990643e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001 -5.0990639e+001
 -4.7312033e+001 -4.7311892e+001 -4.7311779e+001 -4.7311691e+001 -4.7311625e+001 -4.7311578e+001 -4.7311546e+001 -4.7311527e+001 -4.7311517e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001 -4.7311513e+001
 -4.3861760e+001 -4.3861649e+001 -4.3861560e+001 -4.3861491e+001 -4.3861439e+001 -4.3861402e+001 -4.3861377e+001 -4.3861362e+001 -4.3861354e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001
 -4.0609247e+001 -4.0609170e+001 -4.0609109e+001 -4.0609061e+001 -4.0609026e+001 -4.0609000e+001 -4.0608983e+001 -4.0608972e+001 -4.0608967e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001
