 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001 -8.5989000e+001
 -7.7173151e+001 -7.7173151e+001 -7.7173149e+001 -7.7173145e+001 -7.7173136e+001 -7.7173121e+001 -7.7173099e+001 -7.7173068e+001 -7.7173029e+001 -7.7172987e+001 -7.7172948e+001 -7.7172916e+001 -7.7172896e+001 -7.7172894e+001 -7.7172914e+001 -7.7172953e+001 -7.7173003e+001 -7.7173056e+001 -7.7173103e+001 -7.7173138e+001 -7.7173151e+001
 -6.9996211e+001 -6.9996210e+001 -6.9996208e+001 -6.9996202e+001 -6.9996189e+001 -6.9996169e+001 -6.9996139e+001 -6.9996097e+001 -6.9996044e+001 -6.9995987e+001 -6.9995933e+001 -6.9995889e+001 -6.9995863e+001 -6.9995860e+001 -6.9995887e+001 -6.9995940e+001 -6.9996008e+001 -6.9996080e+001 -6.9996145e+001 -6.9996193e+001 -6.9996211e+001
 -6.4121286e+001 -6.4121286e+001 -6.4121283e+001 -6.4121278e+001 -6.4121266e+001 -6.4121247e+001 -6.4121218e+001 -6.4121178e+001 -6.4121129e+001 -6.4121075e+001 -6.4121024e+001 -6.4120983e+001 -6.4120958e+001 -6.4120955e+001 -6.4120981e+001 -6.4121031e+001 -6.4121095e+001 -6.4121163e+001 -6.4121224e+001 -6.4121269e+001 -6.4121286e+001
 -5.9211485e+001 -5.9211485e+001 -5.9211483e+001 -5.9211479e+001 -5.9211470e+001 -5.9211456e+001 -5.9211435e+001 -5.9211405e+001 -5.9211368e+001 -5.9211328e+001 -5.9211290e+001 -5.9211260e+001 -5.9211241e+001 -5.9211239e+001 -5.9211258e+001 -5.9211295e+001 -5.9211343e+001 -5.9211394e+001 -5.9211439e+001 -5.9211473e+001 -5.9211485e+001
 -5.4929917e+001 -5.4929917e+001 -5.4929916e+001 -5.4929913e+001 -5.4929908e+001 -5.4929899e+001 -5.4929886e+001 -5.4929868e+001 -5.4929846e+001 -5.4929822e+001 -5.4929799e+001 -5.4929781e+001 -5.4929770e+001 -5.4929768e+001 -5.4929780e+001 -5.4929802e+001 -5.4929831e+001 -5.4929862e+001 -5.4929889e+001 -5.4929909e+001 -5.4929917e+001
 -5.0990639e+001 -5.0990639e+001 -5.0990638e+001 -5.0990637e+001 -5.0990634e+001 -5.0990630e+001 -5.0990623e+001 -5.0990614e+001 -5.0990603e+001 -5.0990590e+001 -5.0990579e+001 -5.0990569e+001 -5.0990563e+001 -5.0990563e+001 -5.0990569e+001 -5.0990580e+001 -5.0990595e+001 -5.0990610e+001 -5.0990625e+001 -5.0990635e+001 -5.0990639e+001
 -4.7311513e+001 -4.7311513e+001 -4.7311512e+001 -4.7311512e+001 -4.7311511e+001 -4.7311509e+001 -4.7311506e+001 -4.7311502e+001 -4.7311497e+001 -4.7311492e+001 -4.7311487e+001 -4.7311483e+001 -4.7311481e+001 -4.7311481e+001 -4.7311483e+001 -4.7311488e+001 -4.7311494e+001 -4.7311501e+001 -4.7311507e+001 -4.7311511e+001 -4.7311513e+001
 -4.3861351e+001 -4.3861351e+001 -4.3861351e+001 -4.3861350e+001 -4.3861350e+001 -4.3861350e+001 -4.3861349e+001 -4.3861348e+001 -4.3861346e+001 -4.3861345e+001 -4.3861343e+001 -4.3861342e+001 -4.3861341e+001 -4.3861341e+001 -4.3861342e+001 -4.3861343e+001 -4.3861345e+001 -4.3861347e+001 -4.3861349e+001 -4.3861350e+001 -4.3861351e+001
 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608965e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608963e+001 -4.0608963e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608964e+001 -4.0608965e+001 -4.0608965e+001
 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001
 -3.4569543e+001 -3.4568324e+001 -3.4567472e+001 -3.4566920e+001 -3.4566604e+001 -3.4566460e+001 -3.4566421e+001 -3.4566425e+001 -3.4566429e+001 -3.4566432e+001 -3.4566433e+001 -3.4566432e+001 -3.4566429e+001 -3.4566425e+001 -3.4566418e+001 -3.4566412e+001 -3.4566409e+001 -3.4566413e+001 -3.4566428e+001 -3.4566455e+001 -3.4566499e+001
 -3.1700775e+001 -3.1691028e+001 -3.1684207e+001 -3.1679793e+001 -3.1677267e+001 -3.1676110e+001 -3.1675803e+001 -3.1675831e+001 -3.1675868e+001 -3.1675891e+001 -3.1675899e+001 -3.1675891e+001 -3.1675868e+001 -3.1675831e+001 -3.1675779e+001 -3.1675730e+001 -3.1675708e+001 -3.1675741e+001 -3.1675854e+001 -3.1676072e+001 -3.1676423e+001
 -2.8866319e+001 -2.8833422e+001 -2.8810401e+001 -2.8795505e+001 -2.8786980e+001 -2.8783076e+001 -2.8782040e+001 -2.8782133e+001 -2.8782260e+001 -2.8782337e+001 -2.8782362e+001 -2.8782337e+001 -2.8782260e+001 -2.8782133e+001 -2.8781958e+001 -2.8781792e+001 -2.8781720e+001 -2.8781831e+001 -2.8782211e+001 -2.8782948e+001 -2.8784131e+001
 -2.6015631e+001 -2.5937654e+001 -2.5883086e+001 -2.5847775e+001 -2.5827569e+001 -2.5818315e+001 -2.5815860e+001 -2.5816078e+001 -2.5816381e+001 -2.5816562e+001 -2.5816623e+001 -2.5816562e+001 -2.5816381e+001 -2.5816078e+001 -2.5815665e+001 -2.5815271e+001 -2.5815101e+001 -2.5815363e+001 -2.5816264e+001 -2.5818012e+001 -2.5820815e+001
 -2.3098167e+001 -2.2945868e+001 -2.2839291e+001 -2.2770324e+001 -2.2730859e+001 -2.2712784e+001 -2.2707990e+001 -2.2708416e+001 -2.2709007e+001 -2.2709361e+001 -2.2709479e+001 -2.2709361e+001 -2.2709007e+001 -2.2708416e+001 -2.2707609e+001 -2.2706839e+001 -2.2706507e+001 -2.2707019e+001 -2.2708779e+001 -2.2712194e+001 -2.2717667e+001
 -2.0017213e+001 -1.9763946e+001 -1.9586805e+001 -1.9472293e+001 -1.9406911e+001 -1.9377163e+001 -1.9369550e+001 -1.9370657e+001 -1.9372072e+001 -1.9373133e+001 -1.9373844e+001 -1.9374211e+001 -1.9374239e+001 -1.9373932e+001 -1.9373329e+001 -1.9372844e+001 -1.9373135e+001 -1.9374862e+001 -1.9378689e+001 -1.9385276e+001 -1.9395285e+001
