  0.0000000e+000 -1.1342800e-001
  6.7534036e-002 -1.0483383e-001
  1.0117503e-001 -8.4063034e-002
  1.1546043e-001 -5.8110050e-002
  1.1302415e-001 -3.2699604e-002
  9.8172955e-002 -1.1481292e-002
  7.9858328e-002  4.6840142e-003
  6.3610834e-002  1.6526973e-002
  5.1244466e-002  2.6147547e-002
  4.1192500e-002  3.7015820e-002
  3.1143111e-002  5.2732889e-002
  2.4252633e-002  7.3770626e-002
  2.3684151e-002  1.0042070e-001
  2.7148084e-002  1.3553719e-001
  3.2604201e-002  1.8009992e-001
  4.0370177e-002  2.3083125e-001
  5.1194053e-002  2.8574280e-001
  6.6231211e-002  3.4510972e-001
  8.9307621e-002  4.1313950e-001
  1.2684397e-001  4.9963618e-001
  1.9042104e-001  6.3481922e-001
